,ID,CB_smile,Score,Natom,Nflex,Hbond,Hphob,VwInt,Eintl,Dsolv,SolEl,mfScore,RTCNNscore,dTSsc,ICM_Smile
358,9258388,CCc1cc2c(nc(nc2s1)-c1ccccc1)N(C)C[C](=O)=O,-21.3734,39,4,-3.304527,-5.492882,-18.072756,4.948489,6.159358,-1.891775,-70.190956,-13.35144,1.114246,[H]c1c([H])c([H])c(c([H])c1[H])c1nc(c2c([H])c(C([H])([H])C([H])([H])[H])sc2n1)N(C([H])([H])[H])C([H])([H])C(=[O-/2])=[O-/2]
359,85025552,Cc1[nH]ccc1C(=O)N1CCN(C[C@H](O)C1)c1nc(cs1)C(N)=O,-21.367496,43,2,-2.029312,-4.580194,-19.48753,2.202762,6.949401,-2.137554,-47.205238,-18.04273,1.148734,[H]c1c(C(N2C([H])([H])C([H])([H])N(c3nc(C(N([H])[H])=O)c([H])s3)C([H])([H])[C@@]([H])(C2([H])[H])O[H])=O)c(C([H])([H])[H])n([H])c1[H]
360,7915136,COc1ccc(Nc2ncccc2C(=O)Nc2cccc(c2)C(F)(F)F)cc1,-21.359623,44,0,-1.596267,-6.147393,-20.870436,5.671816,6.640263,-1.083586,-62.827976,-14.375262,1.238335,[H]c1c([H])c(c([H])c(c1[H])N([H])C(c1c([H])c([H])c([H])nc1N([H])c1c([H])c([H])c(c([H])c1[H])OC([H])([H])[H])=O)C(F)(F)F
361,43358700,O=C(CCc1c[nH]c2ccccc12)NCc1n[nH]c(=O)c2ccccc12,-21.358496,44,5,-4.584331,-4.456077,-19.886562,2.715358,8.968355,2.661386,-89.382607,-22.054546,0.928692,[H]c1c([H])c([H])c2C(N([H])N=C(c2c1[H])C([H])([H])N([H])C(C([H])([H])C([H])([H])c1c2c([H])c([H])c([H])c([H])c2n([H])c1[H])=O)=O
362,7903123,Brc1ccccc1NC1=NS(=O)(=O)c2ccccc12,-21.353859,28,0,0,-4.475046,-20.906412,1.31099,2.939459,-0.667202,-52.346237,-18.190481,0.813965,[H]c1c([H])c([H])c2c(C(=NS2(=O)=O)N([H])c2c([H])c([H])c([H])c([H])c2[Br])c1[H]
363,69114616,CN1CCN(CC1)C(=O)c1cccc(NC(=O)NCc2nnc(N)s2)c1,-21.352552,47,5,-5.139696,-4.678156,-18.337444,4.037851,9.601859,0.755427,-59.559845,-16.964649,0.947693,[H]c1c([H])c(C(N2C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])=O)c([H])c(c1[H])N([H])C(N([H])C([H])([H])c1nnc(N([H])[H])s1)=O
364,7723995,Cc1ccccc1NS(=O)(=O)c1cc(OCC(N)=O)c(C)cc1Cl,-21.34543,41,5,-4.710514,-4.978975,-20.856174,4.820439,7.720125,4.669546,-76.837456,-16.276623,1.152007,[H]c1c([H])c([H])c(c(c1[H])C([H])([H])[H])N([H])S(c1c([H])c(c(c([H])c1[Cl])C([H])([H])[H])OC([H])([H])C(N([H])[H])=O)(=O)=O
365,5123662,CCOC(=O)c1c(N)n(-c2ccccc2O)c2nc3ccccc3nc12,-21.341215,42,1,-3.26782,-5.112833,-20.600931,5.861974,7.223573,2.148536,-90.53138,-16.761696,1.065639,[H]c1c([H])c([H])c(c(c1[H])n1c(c(C(=O)OC([H])([H])C([H])([H])[H])c2c1nc1c([H])c([H])c([H])c([H])c1n2)N([H])[H])O[H]
366,9026807,NC(=O)C(=O)c1cn(Cc2c(F)cccc2Cl)c2ccccc12,-21.340834,35,3,-3.29591,-4.81376,-17.688362,1.365661,5.848223,1.372481,-74.243462,-15.571129,0.975473,[H]c1c([H])c(c(c(c1[H])[Cl])C([H])([H])n1c([H])c(C(C(N([H])[H])=O)=O)c2c([H])c([H])c([H])c([H])c12)F
367,5749659,CC(=C)c1ccccc1NC1=NS(=O)(=O)c2ccccc12,-21.340698,35,0,0,-5.048784,-21.737179,1.925603,2.380038,1.270872,-51.010323,-15.420514,0.813394,[H]C([H])=C(c1c([H])c([H])c([H])c([H])c1N([H])C1c2c([H])c([H])c([H])c([H])c2S(N=1)(=O)=O)C([H])([H])[H]
368,33495414,CN1CCOC[C@@H](CNC(=O)Nc2cccc3ccccc23)C1,-21.334957,46,4,-2.365486,-5.16319,-19.873156,5.310663,4.134122,-1.067838,-61.599876,-23.17897,0.880134,[H]c1c([H])c([H])c2c(c([H])c([H])c([H])c2c1[H])N([H])C(N([H])C([H])([H])[C@@]1([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C([H])([H])OC1([H])[H])=O
369,82670320,Cc1ccccc1[C@]1(O)CCN(C1)C(=O)c1ccn2nnnc2c1,-21.333357,41,3,-4.65155,-4.551834,-18.146948,3.454911,8.860961,1.686475,-72.219131,-14.305289,0.884796,[H]c1c([H])c([H])c(c(c1[H])C([H])([H])[H])[C@@]1(C([H])([H])C([H])([H])N(C(c2c([H])c([H])n3c(c2[H])nnn3)=O)C1([H])[H])O[H]
370,7288869,O=C(CC[C](=O)=O)N1CCc2ccccc2C1,-21.333073,31,4,-3.511916,-4.128535,-16.838774,2.614145,5.252259,-1.137447,-74.362762,-17.508926,0.869632,[H]c1c([H])c([H])c2c(c1[H])C([H])([H])C([H])([H])N(C(C([H])([H])C([H])([H])C(=[O-/2])=[O-/2])=O)C2([H])[H]
371,6671041,COc1ccccc1NS(=O)(=O)c1cccc(c1)C(=O)Nc1ccc(Cl)cc1,-21.331818,45,4,-4.059314,-4.667434,-22.281019,6.454891,8.103787,3.023747,-86.015785,-15.790188,1.19684,[H]c1c([H])c([H])c(c(c1[H])N([H])S(c1c([H])c([H])c([H])c(C(N([H])c2c([H])c([H])c(c([H])c2[H])[Cl])=O)c1[H])(=O)=O)OC([H])([H])[H]
372,6195898,OC1=C([C@H](N(C1=O)c1ccc(Br)cc1)c1cccc(c1)N(=O)=O)C(=O)c1ccccc1,-21.331741,46,4,-4.78662,-4.233483,-21.707001,5.88509,10.475589,2.324391,-93.825706,-13.13622,1.178535,[H]c1c([H])c([H])c(C(C2=C(C(N(c3c([H])c([H])c(c([H])c3[H])[Br])[C@]2([H])c2c([H])c([H])c([H])c(c2[H])N(=O)=O)=O)O[H])=O)c([H])c1[H]
373,6055652,Cc1ccc(cc1)C(=O)Nc1ccccc1C(=O)NCC[C](=O)=O,-21.330532,41,3,-2.60501,-4.907841,-19.083157,2.876558,6.32346,-0.965119,-60.350464,-14.470246,1.094004,[H]c1c([H])c([H])c(c(C(N([H])C([H])([H])C([H])([H])C(=[O-/2])=[O-/2])=O)c1[H])N([H])C(c1c([H])c([H])c(c([H])c1[H])C([H])([H])[H])=O
